epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1161.84,1.36261,1.45443,1.28062,0.24307,0.25485,0.22676,0.1317,1.51877,1.746,1.49875,0.00144161,0.00144161,0.00144161
78,1176.99,1.3383,1.39467,1.2643,0.40771,0.28518,0.23697,0.13416,1.53436,1.74602,1.50602,0.00133695,0.00133695,0.00133695
79,1192.15,1.36737,1.37564,1.26771,0.39841,0.25794,0.23489,0.13397,1.51969,1.7174,1.50865,0.00123596,0.00123596,0.00123596
80,1207.18,1.36016,1.42832,1.27671,0.29325,0.2385,0.22813,0.12931,1.50453,1.71592,1.49357,0.00113873,0.00113873,0.00113873
81,1222.31,1.35243,1.41651,1.26776,0.30392,0.26743,0.23099,0.13433,1.51985,1.68257,1.50297,0.00104537,0.00104537,0.00104537
82,1237.5,1.34542,1.42175,1.26738,0.40873,0.26115,0.24097,0.14061,1.5165,1.68867,1.50815,0.000955951,0.000955951,0.000955951
83,1252.52,1.32362,1.41389,1.26531,0.41629,0.28972,0.23897,0.13959,1.50603,1.70737,1.49499,0.000870577,0.000870577,0.000870577
84,1267.47,1.34022,1.3922,1.26354,0.37162,0.28192,0.24017,0.13822,1.49506,1.67841,1.48496,0.000789327,0.000789327,0.000789327
85,1282.47,1.32875,1.38226,1.25663,0.23352,0.27603,0.2339,0.1357,1.49581,1.70156,1.48975,0.000712282,0.000712282,0.000712282
86,1297.46,1.33795,1.36896,1.25833,0.4804,0.24152,0.229,0.13167,1.50957,1.70799,1.50429,0.000639518,0.000639518,0.000639518
87,1312.46,1.33249,1.34634,1.26082,0.37857,0.25483,0.23156,0.13332,1.49933,1.72079,1.51389,0.000571106,0.000571106,0.000571106
88,1327.44,1.31769,1.32083,1.25271,0.38302,0.29331,0.23864,0.13713,1.50912,1.69969,1.50355,0.000507115,0.000507115,0.000507115
89,1342.44,1.33945,1.34501,1.25882,0.27331,0.28509,0.23762,0.13772,1.50925,1.69823,1.50579,0.000447606,0.000447606,0.000447606
90,1357.52,1.31918,1.31103,1.25343,0.38735,0.29543,0.24426,0.1393,1.51719,1.69305,1.50395,0.00039264,0.00039264,0.00039264
91,1395.7,1.34632,1.38187,1.28611,0.42117,0.28285,0.23126,0.13221,1.50996,1.83782,1.52284,0.00034227,0.00034227,0.00034227
92,1410.93,1.31733,1.2793,1.27025,0.42209,0.24964,0.23103,0.13401,1.52113,1.79293,1.52318,0.000296546,0.000296546,0.000296546
